PublishDate,Source,Title,Summary,Link
2025-08-20,RefIndustry,NAVAC Manifold Gauges and Probes Now Compatible with measureQuick App,"NAVAC has announced that its NEXUS Digital Manifold Gauges are now compatible with the measureQuick App, enhancing diagnostics for HVAC professionals through real-time system performance analytics. Th",https://refindustry.com/news/market-news/navac-manifold-gauges-and-probes-now-compatible-with-measurequick-app
2025-08-20,RefIndustry,Daikin Applied UK launches compact HTM-compliant AHU for healthcare use,"Daikin Applied (UK) has introduced the HTM-Pro T Series, a compact air handling unit (AHU) designed to meet NHS HTM 03-01 ventilation standards for healthcare environments. Manufactured in the UK,",https://refindustry.com/news/new-items/daikin-applied-uk-launches-compact-htm-compliant-ahu-for-healthcare-use
2025-08-20,RefIndustry,"Capgemini retrofits 1,000 EC fans in India to cut energy use by 30%","Global IT firm Capgemini has implemented large-scale ventilation system retrofits across eight sites in India using EC fans from ebm‑papst, as part of its efforts to reduce energy consumption and me",https://refindustry.com/news/market-news/capgemini-retrofits-1-000-ec-fans-in-india-to-cut-energy-use-by-30
2025-08-20,RefIndustry,Williams celebrates this year’s long-serving employees,"Williams Refrigeration, based in Lynn, has honoured eight employees for reaching major career milestones, totalling 190 years of service between them. The recognition includes six employees with 20 ye",https://refindustry.com/news/market-news/williams-celebrates-this-year-s-long-serving-employees
2025-08-19,RefIndustry,GE Appliances to Invest $3 Billion in U.S. Manufacturing Over Five Years,"GE Appliances, a Haier company, has announced a $3 billion investment plan to expand its U.S. manufacturing operations over the next five years. The initiative will modernize production facilities, gr",https://refindustry.com/news/market-news/ge-appliances-to-invest-3-billion-in-u-s-manufacturing-over-five-years
2025-08-19,RefIndustry,ebm‑papst introduces new RadiPac EC centrifugal fans for cleanroom FFUs,ebm‑papst has launched a new generation of RadiPac EC centrifugal fans specifically designed for filter-fan-units (FFUs) used in cleanrooms across high-tech industries such as semiconductor manu,https://refindustry.com/news/new-items/ebm-papst-introduces-new-radipac-ec-centrifugal-fans-for-cleanroom-ffus
2025-08-19,RefIndustry,Eurammon urges support for revised EN 378 safety standard,"The European Committee for Standardization (CEN) has released a draft revision of the EN 378 safety standard for public enquiry. The revised standard, titled prEN 378:2025, includes significant update",https://refindustry.com/news/market-news/eurammon-urges-support-for-revised-en-378-safety-standard
2025-08-19,RefIndustry,GEA opens new sustainable headquarters in Düsseldorf,"GEA has inaugurated its new corporate headquarters in the “maxfrei” urban district of Düsseldorf-Derendorf, Germany. The move consolidates the company’s central functions, divisional teams,",https://refindustry.com/news/market-news/gea-opens-new-sustainable-headquarters-in-d-sseldorf
2025-08-18,RefIndustry,Lennox to Acquire NSI Industries’ HVAC Division for $550 Million,Lennox has signed a definitive agreement to acquire the HVAC division of NSI Industries from Sentinel Capital Partners for approximately $550 million. The transaction includes established brands su,https://refindustry.com/news/market-news/lennox-to-acquire-nsi-industries-hvac-division-for-550-million
2025-08-18,RefIndustry,Heatcraft launches UL-listed dual-refrigerant systems for A1 and A2L compliance,"Heatcraft Refrigeration Products has introduced new UL-listed dual-refrigerant systems that support both A1 (HFC) and A2L (HFO) refrigerants, allowing users to operate with current refrigerants while",https://refindustry.com/news/new-items/heatcraft-launches-ul-listed-dual-refrigerant-systems-for-a1-and-a2l-compliance
2025-08-18,RefIndustry,Carrier Transicold trains 375 technicians in Americas on OptimaLINE units,"Carrier Transicold has completed a large-scale training program for service technicians in Latin America and the United States, focusing on its OptimaLINE refrigerated container units. Nearly 375 prof",https://refindustry.com/news/cold-chain/carrier-transicold-trains-375-technicians-in-americas-on-optimaline-units
2025-08-18,RefIndustry,Cougar Couriers deploys Carrier Transicold Supra HE units for pharma transport,"Cougar Couriers has added two rigid trucks equipped with Carrier Transicold’s Supra High Efficiency (HE) refrigeration units to its temperature-controlled fleet, supporting pharmaceutical deliveries",https://refindustry.com/news/cold-chain/cougar-couriers-deploys-carrier-transicold-supra-he-units-for-pharma-transport
2025-08-18,RefIndustry,Global conference highlighted refrigeration adaptation to rising temperatures,"The 1st IIR International Conference on Refrigeration Adapting to Rising Temperatures was held in Manchester, UK, from 10–13 August 2025. Organized by the Institute of Refrigeration (IOR) in partner",https://refindustry.com/news/news-events/global-conference-highlighted-refrigeration-adaptation-to-rising-temperatures
2025-08-23,CoolingPost-World,Honeywell progresses spin-off plans,"USA: Honeywell has progressed plans to spin off its Advanced Materials business this year, filing its Form 10 registration statement and announcing its future board for the new Solstice business.",https://www.coolingpost.com/world-news/honeywell-progress-spin-off-plans/
2025-08-22,CoolingPost-World,Carrier enables 2-week delivery of R454B,"USA: With the US continuing to suffer shortages of lower GWP refrigerant R454B, Carrier has announced that it is now fulfilling R454B refrigerant orders within two weeks from time of order.",https://www.coolingpost.com/world-news/carrier-enables-2-week-delivery-of-r454b/
2025-08-22,CoolingPost-World,Daikin Europe opens €140m R&D centre,"BELGIUM: After two and a half years of construction, Daikin’s €140m EMEA Development Centre (EDC) is now operational.",https://www.coolingpost.com/world-news/daikin-europe-opens-e140m-rd-centre/
2025-08-21,CoolingPost-World,Modine opens Chennai factory,"USA: Modine has officially opened its new 100,000ft2 factory in Chennai, India, to meet accelerated demand for data centre cooling across the APAC region.",https://www.coolingpost.com/world-news/modine-opens-chennai-factory/
2025-08-21,CoolingPost-World,Vertiv buys data rack and cabinet company,"UK/USA: Vertiv Holdings has successfully completed the $200m acquisition of Great Lakes Data Racks & Cabinets, a leading manufacturer of innovative data rack enclosures and integrated infrastructure solutions.",https://www.coolingpost.com/world-news/vertiv-buys-data-rack-and-cabinet-company/
2025-08-18,CoolingPost-World,LG cuts plastic use on 4-way cassette,SOUTH KOREA: LG Electronics is reducing plastic consumption and carbon emissions by adopting a new material and manufacturing process for its commercial 4-way system air conditioners.,https://www.coolingpost.com/world-news/lg-cuts-plastic-use-on-4-way-cassette/
2025-08-18,CoolingPost-World,Lennox to acquire HVAC Division of NSI Industries,"USA: Lennox has signed a definitive agreement to purchase the HVAC division of NSI Industries, a leading provider of electrical, HVAC, and network infrastructure product solutions, for approximately $550m.",https://www.coolingpost.com/world-news/lennox-to-acquire-hvac-division-of-nsi-industries/
2025-08-17,CoolingPost-World,"Over 600,000 minifridges recalled","USA: Over 600,000 Frigidaire-brand minifridges have been recalled in the USA after reports of short circuits causing more than $700,000 of property damage.",https://www.coolingpost.com/world-news/over-600000-minifridges-recalled/
2025-08-16,CoolingPost-World,AC users warned of risks after wildfires,"SPAIN: With firefighters continuing to battle 14 major blazes across Spain, home and business owners are being advised of precautions to take with their air conditioning systems.",https://www.coolingpost.com/world-news/ac-users-warned-of-risks-after-wildfires/
2025-08-15,CoolingPost-World,Fourth person dies in New York LD outbreak,USA: A fourth person is reported to have died from the outbreak of legionnaires’ disease in New York City's Harlem neighbourhood.,https://www.coolingpost.com/world-news/fourth-person-dies-in-new-york-ld-outbreak/
2025-08-20,CoolingPost-UK,£250 promo on Panasonic Mini VRF,UK: Panasonic Heating and Cooling Solutions has introduced a new installer incentive to promote its ECOi Mini VRF outdoor units.,https://www.coolingpost.com/uk-news/250-promo-on-panasonic-mini-vrf/
2025-08-20,CoolingPost-UK,Wolseley revamps Climate Centre branches,UK: Pipe Centre and Climate Centre says it has made a significant investment in five key UK branches in the last few months.,https://www.coolingpost.com/uk-news/wolseley-revamps-climate-centre-branches/
2025-08-20,CoolingPost-UK,BESA backs cooling for UK buildings,"UK: The Building Engineering Services Association (BESA) is calling for urgent action to tackle overheating in buildings, as the UK experiences rising temperatures and heat-related deaths.",https://www.coolingpost.com/uk-news/besa-backs-cooling-for-uk-buildings/
2025-08-17,CoolingPost-UK,Network Rail trials passive cooling system,"UK: A new passive cooling system, currently being deployed in railway signalling cabinets to combat excessive heat, could improve the efficiency of commercial refrigeration cabinets.",https://www.coolingpost.com/uk-news/network-rail-trials-passive-cooling-system/
2025-08-22,CoolingPost-Products,CTC adds high capacity R290 ATW heat pump,"SWEDEN: CTC has announced the launch of the EcoAir 720M, the highest-capacity unit in its EcoAir 700M range of modulating air-to-water heat pumps.",https://www.coolingpost.com/products/ctc-adds-high-capacity-r290-atw-heat-pump/
2025-08-19,CoolingPost-Products,AI-powered wall-mount air conditioner,"GERMANY: Midea Europe GmbH is launching Solstice, a new wall-mounted air conditioner that combines energy-efficiency with artificial intelligence.",https://www.coolingpost.com/products/ai-powered-wall-mount-air-conditioner/
2025-08-16,CoolingPost-Products,Daikin AHU meets healthcare demands,"UK: Daikin Applied (UK) has unveiled the HTM-Pro T Series, a compact air handling unit designed to meet the stringent NHS HTM 03-01 ventilation guidelines for healthcare environments.",https://www.coolingpost.com/products/daikin-ahu-meets-healthcare-demands/
2025-08-15,CoolingPost-Products,Copeland scrolls for heat pump applications,USA: Copeland has announced two new variable-speed scroll compressor series for a wide range of commercial and residential heat pump applications.,https://www.coolingpost.com/products/copeland-scrolls-for-heat-pump-applications/
2025-08-22,Natural Refrigerants,"SCM Ref New Zealand Designs, Builds and Tests ‘First’ CO2 Ice Builder","The unit, slated for use in a South Island dairy farm, provides ..",https://naturalrefrigerants.com/news/scm-ref-new-zealand-designs-builds-and-tests-first-co2-ice-builder/
2025-08-21,Natural Refrigerants,"ATMO America: Copeland Prioritizing CO2 Refrigeration Adoption in North America, Says Director of Solutions Strategy",The company operates a collaborative CO2 lab in Ohio and supports industry ..,https://naturalrefrigerants.com/news/atmo-america-copeland-prioritizing-co2-refrigeration-adoption-in-north-america-says-director-of-solutions-strategy/
2025-08-20,Natural Refrigerants,Solid Energy Has Sold Over 150 Large-Scale Hydrocarbon Heat Pumps With −30 to 170°C Flow Temperature Range,"The Danish manufacturer's R290, R600, R600a and R601a units are available in ..",https://naturalrefrigerants.com/news/solid-energy-has-sold-over-150-large-scale-hydrocarbon/
2025-08-19,Natural Refrigerants,Finland’s National Railway to Operate 20 Regional FLIRT Trains Equipped with R290 HVAC,Manufacturer Liebherr-Transportation Systems said it is producing the propane-based HVAC systems in ..,https://naturalrefrigerants.com/news/finland-vr-group-to-operate-20-regional-flirt-trains-equipped-with-r290-hvac/
2025-08-18,Natural Refrigerants,"Adaptation 2025: Integrated R600a Heat Pump Can Cut Supermarket HVAC&R OpEx by Up to 91% Compared to Gas Boiler, Study Finds",The University of Southern Denmark also found that the isobutane system could ..,https://naturalrefrigerants.com/news/adaptation-2025-integrated-r600a-heat-pump-can-cut-supermarket-hvacr-opex-by-up-to-91-compared-to-gas-boiler-study-finds/
2025-08-18,Natural Refrigerants,Nidec Global Appliance’s VP of HVAC Shares the Company’s Outlook on Propane in HVAC,"In an exclusive interview, Tom Bourquin spoke about the equipment types and ..",https://naturalrefrigerants.com/news/nidec-global-appliances-vp-of-hvac-shares-the-companys-outlook-on-propane-in-hvac/
2025-08-20,TRANE,Innovation Meets Real-World Impact in Season 5 of Trane Technologies’ Healthy Spaces Podcast,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies (NYSE:TT), a global climate innovator, announces the launch of Season 5 of Healthy Spaces, a climate technology podcast that explores the innovations transforming buildings and transport systems into more sustainable solutions.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Innovation-Meets-Real-World-Impact-in-Season-5-of-Trane-Technologies-Healthy-Spaces-Podcast/default.aspx
2025-08-19,TRANE,Forbes Recognizes Trane Technologies as One of America’s Best Employers for Women in 2025,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies (NYSE:TT), a global climate innovator, has been named to Forbes’ list of America’s Best Employers for Women 2025. Compiled in collaboration with market research company Statista, this prestigious ranking recognizes Trane Technologies’ efforts to create a workplace where all employees can thrive, lead, and are empowered to succeed.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Forbes-Recognizes-Trane-Technologies-as-One-of-Americas-Best-Employers-for-Women-in-2025/default.aspx
2025-08-21,Danfoss,H1 2025: Robust results despite volatile environment,"Throughout the first half of the year, inventory corrections in our markets have progressed. Order intake and sales continuously improved over the same period with slightly positive sales growth in the second quarter. The operational EBITA margin continued to improve in the first half and reached 11.5% in the second quarter, in line with expectations.",https://www.danfoss.com//en/about-danfoss/news/cf/first-half-year-2025-announcement/
2025-08-21,Danfoss,Danfoss SLP13-10 cartridge valve enhances hydraulic efficiency and productivity,"With its low electric power consumption, the SLP13-10 valve helps improve efficiency, reduce operational costs, and enhance system performance.",https://www.danfoss.com//en/about-danfoss/news/dps/danfoss-slp13-10-cartridge-valve-enhances-hydraulic-efficiency-and-productivity/
2025-08-20,Danfoss,Danfoss nozzle spray technology elevates automotive paint quality,Danfoss Spray Technology Boosts Automotive Paint Quality,https://www.danfoss.com//en/about-danfoss/news/dhs/danfoss-nozzle-spray-technology-elevates-automotive-paint-quality/
2025-08-19,Danfoss,"Danfoss Power Solutions completes UQDB coupling portfolio, offering high efficiency and reliability in data center liquid cooling applications","Offering direct connection between servers and manifolds in data center liquid cooling applications, Danfoss' UQDB coupling is Open Compute Project compliant. The complete portfolio now includes -02, -04, -06, and -08 sizes.",https://www.danfoss.com//en/about-danfoss/news/dps/danfoss-power-solutions-completes-uqdb-coupling-portfolio-offering-high-efficiency-and-reliability-in-data-center-liquid-cooling-applications/
2025-08-21,LG-ApplianceSolution,"LG Unveils AI-Driven, Energy-Efficient Laundry Solutions at IFA 2025","Aug. 21, 2025 — LG Electronics (LG) is set to showcase a comprehensive suite of advanced AI-powered laundry solutions with maximized energy efficiency at IFA 2025. The new lineup meets a growing demand for sustainable appliances in the European market, with energy-efficient laundry products that accommodate a variety of lifestyles and living spaces.",https://www.lgnewsroom.com/2025/08/lg-unveils-ai-driven-energy-efficient-laundry-solutions-at-ifa-2025/
2025-08-19,LG-ApplianceSolution,LG Presents New Space- and Energy-Efficient Refrigerator Lineup at IFA 2025,"Aug. 19, 2025 — LG Electronics (LG) is unveiling its latest refrigerator lineup for the European market at IFA 2025. Designed to deliver top-tier energy efficiency, the new french door and bottom-freezer models have been developed specifically for Europe’s unique housing environments and consumer lifestyles, reflecting LG’s extensive research into local needs and preferences. The lineup combines energy-saving performance, smart features and space-efficient styling that integrates seamlessly into modern homes.",https://www.lgnewsroom.com/2025/08/lg-presents-new-space-and-energy-efficient-refrigerator-lineup-at-ifa-2025/
2025-08-25,LG-Entertainment,LG Gallery+ Turns LG TVs Into Design Elements That Personalize Your Living Space,", 2025 — LG Electronics (LG) today announced the availability of LG Gallery+, a new visual curation service that enriches living spaces to reflect the unique style and mood of each user. Featuring over 4,000 selected images, personalization options and adaptive smart features, LG Gallery+ shapes the ambiance of a space through art, creativity and atmosphere.",https://www.lgnewsroom.com/2025/08/lg-gallery-turns-lg-tvs-into-design-elements-that-personalize-your-living-space/
2025-08-20,LG-Entertainment,"LG Enhances Gaming Ecosystem With Gaming Portal Power Up, Cloud Gaming Innovation",", 2025 — LG Electronics (LG) is advancing its Gaming Portal1 as the ultimate gaming platform, offering a wide range of games and unparalleled versatility for webOS-powered TVs and devices. Now available in over 30 countries, the revamped Gaming Portal is transforming how players experience both native webOS games and AAA titles, whether accessed via remote control or a game pad.",https://www.lgnewsroom.com/2025/08/lg-enhances-gaming-ecosystem-with-gaming-portal-power-up-cloud-gaming-innovation/
2025-08-20,LG-VehicleSolutions,LG Secures Top Cybersecurity Certification at Largest Vehicle Component Production Base,", Aug. 20, 2025 — LG Electronics (LG), a leading innovator in mobility technology, today announced that its Hai Phong manufacturing facility in Vietnam – the company’s largest production hub for vehicle components – has earned Cyber Security Management System (CSMS) Level 3 certification from TÜV Rheinland, a global testing and certification agency. The certification ceremony was held on August 19 (local time) at the Hai Phong plant.",https://www.lgnewsroom.com/2025/08/lg-secures-top-cybersecurity-certification-at-largest-vehicle-component-production-base/
2025-08-19,LG-VehicleSolutions,LG to Unveil New Content Partnerships to Enhance In-Vehicle Experience at IAA MOBILITY 2025,", Aug. 19, 2025 — LG Electronics (LG), a leading innovator in mobility technology, is set to present its forward-thinking vision for future mobility at IAA MOBILITY 2025 in Munich, Germany, this September. Recognized as the world’s leading platform for mobility, technology and sustainability, IAA MOBILITY brings together global leaders across industries. Key themes at this year’s event include the software-defined vehicle (SDV), AI, connectivity and smart infrastructure.",https://www.lgnewsroom.com/2025/08/lg-to-unveil-new-content-partnerships-to-enhance-in-vehicle-experience-at-iaa-mobility-2025/
2025-08-22,LG-EcoSolutions,LG Expands AI Infrastructure Footprint Across Asia,"Aug. 22, 2025 — LG Electronics (LG) has been announced as the cooling solutions provider for a large-scale AI data center currently under construction in Jakarta, Indonesia. Upon completion, the facility is set to become one of the largest of its kind in Indonesia. LG’s selection underscores its proven ability to deliver end-to-end thermal management systems tailored specifically to the unique demands of AI infrastructure.",https://www.lgnewsroom.com/2025/08/lg-expands-ai-infrastructure-footprint-across-asia/
2025-08-18,LG-EcoSolutions,LG Adopts Eco-Conscious Manufacturing Innovations for 4-Way System Air Conditioner,"Aug. 18, 2025 — LG Electronics (LG) is reducing plastic consumption and carbon emissions by adopting a new material and manufacturing process for its commercial 4-way system air conditioners. Aligned with the company’s Better Life for All ESG vision, these latest efforts demonstrate an unwavering commitment to minimizing environmental impacts.",https://www.lgnewsroom.com/2025/08/lg-adopts-eco-conscious-manufacturing-innovations-for-4-way-system-air-conditioner/
